Time,Node,FaceId,FaceDescr,Type,Packets,Kilobytes,PacketRaw,KilobytesRaw
1,2,2,internal://,InSatisfiedInterests,2.4,0.0,3,0.0
3,1,258,appFace://,InData,0.0,0.0,0,0.0
1,3,258,appFace://,InSatisfiedInterests,8.0,0.0,10,0.0
1,3,259,netdev://[00:00:00:00:00:06],InNacks,0.0,0.0,0,0.0
1,1,256,internal://,OutSatisfiedInterests,0.0,0.0,0,0.0
1,1,257,netdev://[00:00:00:00:00:01],OutInterests,8.0,0.21875,10,0.273438
1,3,258,appFace://,OutNacks,0.0,0.0,0,0.0
2,2,258,appFace://,OutData,9.6,9.9375,10,10.3516
1,2,257,netdev://[00:00:00:00:00:05],InSatisfiedInterests,803.2,0.0,1004,0.0
1,3,2,internal://,OutData,0.0,0.0,0,0.0
1,2,2,internal://,OutSatisfiedInterests,0.0,0.0,0,0.0
1,3,257,netdev://[00:00:00:00:00:02],OutInterests,798.4,22.4109,998,28.0137
2,1,1,internal://,InTimedOutInterests,0.0,0.0,0,0.0
1,3,2,internal://,InInterests,0.0,0.0,0,0.0
2,2,2,internal://,InNacks,0.0,0.0,0,0.0
2,3,1,internal://,OutSatisfiedInterests,1.6,0.0,0,0.0
3,2,257,netdev://[00:00:00:00:00:01],OutSatisfiedInterests,9.92,0.0,10,0.0
1,1,258,appFace://,InData,0.0,0.0,0,0.0
1,2,257,netdev://[00:00:00:00:00:01],OutData,0.0,0.0,0,0.0
1,2,1,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
3,1,258,appFace://,InNacks,0.0,0.0,0,0.0
2,1,1,internal://,OutInterests,0.0,0.0,0,0.0
2,2,258,appFace://,InSatisfiedInterests,0.0,0.0,0,0.0
1,3,2,internal://,InInterests,0.0,0.0,0,0.0
2,1,258,appFace://,InSatisfiedInterests,958.72,0.0,1000,0.0
2,1,256,internal://,OutNacks,0.0,0.0,0,0.0
1,1,2,internal://,InSatisfiedInterests,0.8,0.0,1,0.0
1,2,256,internal://,OutInterests,0.0,0.0,0,0.0
1,2,256,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
3,1,256,internal://,InTimedOutInterests,0.0,0.0,0,0.0
2,2,1,internal://,OutNacks,0.0,0.0,0,0.0
1,3,257,netdev://[00:00:00:00:00:01],InData,8.0,8.28125,10,10.3516
1,2,1,internal://,InInterests,0.0,0.0,0,0.0
1,3,1,internal://,InInterests,0.0,0.0,0,0.0
1,3,256,internal://,OutData,0.0,0.0,0,0.0
2,2,257,netdev://[00:00:00:00:00:01],OutInterests,9.6,0.2625,10,0.273438
1,3,2,internal://,InInterests,0.0,0.0,0,0.0
1,3,1,internal://,InInterests,0.0,0.0,0,0.0
1,3,2,internal://,OutInterests,0.0,0.0,0,0.0
2,3,259,netdev://[00:00:00:00:00:06],InData,968.32,1003.26,1010,1046.48
3,1,2,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
1,3,258,appFace://,OutInterests,0.0,0.0,0,0.0
3,1,1,internal://,InTimedOutInterests,0.0,0.0,0,0.0
2,1,257,netdev://[00:00:00:00:00:01],InInterests,959.36,27.1294,1000,28.3203
3,1,258,appFace://,OutSatisfiedInterests,0.0,0.0,0,0.0
2,3,257,netdev://[00:00:00:00:00:02],OutSatisfiedInterests,959.04,0.0,1000,0.0
1,3,-1,all,SatisfiedInterests,810.4,0.0,1013,0.0
2,3,2,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
2,2,1,internal://,InData,0.0,0.0,0,0.0
1,3,259,netdev://[00:00:00:00:00:06],OutData,0.0,0.0,0,0.0
3,1,258,appFace://,OutData,991.744,1027.57,1000,1036.13
1,2,2,internal://,OutData,0.0,0.0,0,0.0
3,2,2,internal://,InTimedOutInterests,0.0,0.0,0,0.0
1,2,1,internal://,OutInterests,0.0,0.0,0,0.0
2,3,1,internal://,InNacks,0.0,0.0,0,0.0
2,3,256,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
2,3,258,netdev://[00:00:00:00:00:04],InSatisfiedInterests,959.04,0.0,1000,0.0
1,1,2,internal://,InTimedOutInterests,0.0,0.0,0,0.0
3,3,256,internal://,OutNacks,0.0,0.0,0,0.0
3,1,256,internal://,OutNacks,0.0,0.0,0,0.0
1,3,2,internal://,InSatisfiedInterests,3.2,0.0,4,0.0
2,1,258,appFace://,OutData,9.6,9.9375,10,10.3516
2,2,258,appFace://,InNacks,0.0,0.0,0,0.0
2,2,1,internal://,OutInterests,0.0,0.0,0,0.0
3,2,257,netdev://[00:00:00:00:00:01],InNacks,0.0,0.0,0,0.0
2,3,256,internal://,OutData,0.0,0.0,0,0.0
1,3,1,internal://,InData,0.0,0.0,0,0.0
3,1,256,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
3,2,258,appFace://,InInterests,9.92,0.27125,10,0.273438
1,2,1,internal://,OutInterests,0.0,0.0,0,0.0
2,3,1,internal://,InData,0.0,0.0,0,0.0
3,2,256,internal://,OutSatisfiedInterests,0.0,0.0,0,0.0
2,2,257,netdev://[00:00:00:00:00:05],OutInterests,0.0,0.0,0,0.0
1,3,256,internal://,OutTimedOutInterests,0.0,0.0,0,0.0
1,1,258,appFace://,OutTimedOutInterests,0.0,0.0,0,0.0
1,3,2,internal://,OutInterests,0.0,0.0,0,0.0
1,3,1,internal://,InData,0.0,0.0,0,0.0
2,3,2,internal://,OutData,0.0,0.0,0,0.0
2,1,256,internal://,InInterests,0.0,0.0,0,0.0
1,2,258,appFace://,InSatisfiedInterests,8.0,0.0,10,0.0
1,3,257,netdev://[00:00:00:00:00:01],OutTimedOutInterests,0.0,0.0,0,0.0
2,1,257,netdev://[00:00:00:00:00:01],InInterests,959.36,27.1294,1000,28.3203
1,2,1,internal://,InData,0.0,0.0,0,0.0
1,1,256,internal://,InData,0.0,0.0,0,0.0
1,3,257,netdev://[00:00:00:00:00:02],InTimedOutInterests,0.0,0.0,0,0.0
2,1,256,internal://,InTimedOutInterests,0.0,0.0,0,0.0
1,3,1,internal://,InInterests,0.0,0.0,0,0.0
2,3,258,netdev://[00:00:00:00:00:04],InData,0.0,0.0,0,0.0
1,1,1,internal://,InTimedOutInterests,0.0,0.0,0,0.0
1,3,258,netdev://[00:00:00:00:00:04],OutTimedOutInterests,0.0,0.0,0,0.0
3,1,1,internal://,InInterests,0.0,0.0,0,0.0
1,2,256,internal://,InNacks,0.0,0.0,0,0.0
2,2,257,netdev://[00:00:00:00:00:05],OutData,968.64,1003.59,1010,1046.48
1,1,256,internal://,InInterests,0.0,0.0,0,0.0
3,1,257,netdev://[00:00:00:00:00:03],InTimedOutInterests,6.4,0.0,8,0.0
1,1,258,appFace://,InTimedOutInterests,0.0,0.0,0,0.0
